Date,Year,Month,Day,CategoryName,ProductName,Sales,Sales After Discount
1996-07-04,1996,7,4,Beverages,Chai,.00,.00
1996-07-04,1996,7,4,Beverages,Chang,.00,.00
1996-07-04,1996,7,4,Beverages,Chartreuse verte,.00,.00
1996-07-04,1996,7,4,Beverages,Côte de Blaye,.00,.00
1996-07-04,1996,7,4,Beverages,Guaraná Fantástica,.00,.00
1996-07-04,1996,7,4,Beverages,Ipoh Coffee,.00,.00
1996-07-04,1996,7,4,Beverages,Lakkalikööri,.00,.00
1996-07-04,1996,7,4,Beverages,Laughing Lumberjack Lager,.00,.00
1996-07-04,1996,7,4,Beverages,Outback Lager,.00,.00
1996-07-04,1996,7,4,Beverages,Rhönbräu Klosterbier,.00,.00
1996-07-04,1996,7,4,Beverages,Sasquatch Ale,.00,.00
1996-07-04,1996,7,4,Beverages,Steeleye Stout,.00,.00
1996-07-04,1996,7,4,Condiments,Aniseed Syrup,.00,.00
1996-07-04,1996,7,4,Condiments,Chef Anton's Cajun Seasoning,.00,.00
1996-07-04,1996,7,4,Condiments,Chef Anton's Gumbo Mix,.00,.00
1996-07-04,1996,7,4,Condiments,Genen Shouyu,.00,.00
1996-07-04,1996,7,4,Condiments,Grandma's Boysenberry Spread,.00,.00
1996-07-04,1996,7,4,Condiments,Gula Malacca,.00,.00
1996-07-04,1996,7,4,Condiments,Louisiana Fiery Hot Pepper Sauce,.00,.00
1996-07-04,1996,7,4,Condiments,Louisiana Hot Spiced Okra,.00,.00
1996-07-04,1996,7,4,Condiments,Northwoods Cranberry Sauce,.00,.00
1996-07-04,1996,7,4,Condiments,Original Frankfurter grüne Soße,.00,.00
1996-07-04,1996,7,4,Condiments,Sirop d'érable,.00,.00
1996-07-04,1996,7,4,Condiments,Vegie-spread,.00,.00
1996-07-04,1996,7,4,Confections,Chocolade,.00,.00
1996-07-04,1996,7,4,Confections,Gumbär Gummibärchen,.00,.00
1996-07-04,1996,7,4,Confections,Maxilaku,.00,.00
1996-07-04,1996,7,4,Confections,NuNuCa Nuß-Nougat-Creme,.00,.00
1996-07-04,1996,7,4,Confections,Pavlova,.00,.00
1996-07-04,1996,7,4,Confections,Schoggi Schokolade,.00,.00
1996-07-04,1996,7,4,Confections,Scottish Longbreads,.00,.00
1996-07-04,1996,7,4,Confections,Sir Rodney's Marmalade,.00,.00
1996-07-04,1996,7,4,Confections,Sir Rodney's Scones,.00,.00
1996-07-04,1996,7,4,Confections,Tarte au sucre,.00,.00
1996-07-04,1996,7,4,Confections,Teatime Chocolate Biscuits,.00,.00
1996-07-04,1996,7,4,Confections,Valkoinen suklaa,.00,.00
1996-07-04,1996,7,4,Confections,Zaanse koeken,.00,.00
1996-07-04,1996,7,4,Dairy Products,Camembert Pierrot,.00,.00
1996-07-04,1996,7,4,Dairy Products,Flotemysost,.00,.00
1996-07-04,1996,7,4,Dairy Products,Geitost,.00,.00
1996-07-04,1996,7,4,Dairy Products,Gorgonzola Telino,.00,.00
1996-07-04,1996,7,4,Dairy Products,Gudbrandsdalsost,.00,.00
1996-07-04,1996,7,4,Dairy Products,Mascarpone Fabioli,.00,.00
1996-07-04,1996,7,4,Dairy Products,Mozzarella di Giovanni,174.00,174.00
1996-07-04,1996,7,4,Dairy Products,Queso Cabrales,168.00,168.00
1996-07-04,1996,7,4,Dairy Products,Queso Manchego La Pastora,.00,.00
1996-07-04,1996,7,4,Dairy Products,Raclette Courdavault,.00,.00
1996-07-04,1996,7,4,Grains/Cereals,Filo Mix,.00,.00
1996-07-04,1996,7,4,Grains/Cereals,Gnocchi di nonna Alice,.00,.00
1996-07-04,1996,7,4,Grains/Cereals,Gustaf's Knäckebröd,.00,.00
1996-07-04,1996,7,4,Grains/Cereals,Ravioli Angelo,.00,.00
1996-07-04,1996,7,4,Grains/Cereals,Singaporean Hokkien Fried Mee,98.00,98.00
1996-07-04,1996,7,4,Grains/Cereals,Tunnbröd,.00,.00
1996-07-04,1996,7,4,Grains/Cereals,Wimmers gute Semmelknödel,.00,.00
1996-07-04,1996,7,4,Meat/Poultry,Alice Mutton,.00,.00
1996-07-04,1996,7,4,Meat/Poultry,Mishi Kobe Niku,.00,.00
1996-07-04,1996,7,4,Meat/Poultry,Pâté chinois,.00,.00
1996-07-04,1996,7,4,Meat/Poultry,Perth Pasties,.00,.00
1996-07-04,1996,7,4,Meat/Poultry,Thüringer Rostbratwurst,.00,.00
1996-07-04,1996,7,4,Meat/Poultry,Tourtière,.00,.00
1996-07-04,1996,7,4,Produce,Longlife Tofu,.00,.00
1996-07-04,1996,7,4,Produce,Manjimup Dried Apples,.00,.00
1996-07-04,1996,7,4,Produce,Rössle Sauerkraut,.00,.00
1996-07-04,1996,7,4,Produce,Tofu,.00,.00
1996-07-04,1996,7,4,Produce,Uncle Bob's Organic Dried Pears,.00,.00
1996-07-04,1996,7,4,Seafood,Boston Crab Meat,.00,.00
1996-07-04,1996,7,4,Seafood,Carnarvon Tigers,.00,.00
1996-07-04,1996,7,4,Seafood,Escargots de Bourgogne,.00,.00
1996-07-04,1996,7,4,Seafood,Gravad lax,.00,.00
1996-07-04,1996,7,4,Seafood,Ikura,.00,.00
1996-07-04,1996,7,4,Seafood,Inlagd Sill,.00,.00
1996-07-04,1996,7,4,Seafood,Jack's New England Clam Chowder,.00,.00
1996-07-04,1996,7,4,Seafood,Konbu,.00,.00
1996-07-04,1996,7,4,Seafood,Nord-Ost Matjeshering,.00,.00
1996-07-04,1996,7,4,Seafood,Röd Kaviar,.00,.00
