street,level,precip,Libur,day,ROAD_CLOSED
Abdul Rahman Saleh,2,1.134,0,Wednesday,0
Akses Tol Pasteur,3,1.134,0,Wednesday,0
Alkateri,2,1.134,0,Wednesday,0
Alun-alun Timur,3,1.134,0,Wednesday,0
Anggrek,4,1.134,0,Wednesday,0
Antapani,2,1.134,0,Wednesday,0
Arah Cihampelas/Pasteur/Pajajaran,4,1.134,0,Wednesday,0
Arah Mustang/Cibogo/Gunung Batu,4,1.134,0,Wednesday,0
Arah Taman Sari/Dago/Dipati Ukur/Sabuga,4,1.134,0,Wednesday,0
Arcamanik Endah,2,1.134,0,Wednesday,0
Asia Afrika,3,1.134,0,Wednesday,0
Astana Anyar,3,1.134,0,Wednesday,0
BKR,3,1.134,0,Wednesday,0
Babakan Ciparay,3,1.134,0,Wednesday,0
Babakan Lembur Tengah,2,1.134,0,Wednesday,0
Babakan Sari,2,1.134,0,Wednesday,0
Badak Singa,4,1.134,0,Wednesday,0
Bahureksa,1,1.134,0,Wednesday,0
Balong Gede,4,1.134,0,Wednesday,0
Banceuy,2,1.134,0,Wednesday,0
Batu Kencana,4,1.134,0,Wednesday,0
Batununggal,2,1.134,0,Wednesday,0
Belakang Pasar,4,1.134,0,Wednesday,0
Bojong Koneng,1,1.134,0,Wednesday,0
Bojong Koneng Atas,3,1.134,0,Wednesday,0
Bojong Raya,2,1.134,0,Wednesday,0
Braga,2,1.134,0,Wednesday,0
Brigjen Katamso,2,1.134,0,Wednesday,0
Buah Batu,2,1.134,0,Wednesday,0
Budhi,1,1.134,0,Wednesday,0
Bukit Raya,3,1.134,0,Wednesday,0
Caringin,2,1.134,0,Wednesday,0
Cendana,3,1.134,0,Wednesday,0
Cibaduyut Raya,5,1.134,0,Wednesday,1
Cibodas Raya,2,1.134,0,Wednesday,0
Cibogo,4,1.134,0,Wednesday,0
Cibogo Atas,2,1.134,0,Wednesday,0
Cibolerang,2,1.134,0,Wednesday,0
Cibolerang Barat,3,1.134,0,Wednesday,0
Cicendo,3,1.134,0,Wednesday,0
Cidurian Selatan,1,1.134,0,Wednesday,0
Cidurian Utara,2,1.134,0,Wednesday,0
Cigadung Raya Barat,3,1.134,0,Wednesday,0
Cigadung Raya Selatan,2,1.134,0,Wednesday,0
Cigagak Cipadung,2,1.134,0,Wednesday,0
Cigending,2,1.134,0,Wednesday,0
Cigondewah Kaler,1,1.134,0,Wednesday,0
Cigondewah Rahayu,2,1.134,0,Wednesday,0
Cihampelas,3,1.134,0,Wednesday,0
Cihapit,3,1.134,0,Wednesday,0
Cijagra,2,1.134,0,Wednesday,0
Cijambe,2,1.134,0,Wednesday,0
Cijengkol Cidahli,4,1.134,0,Wednesday,0
Cijerah Raya,2,1.134,0,Wednesday,0
Cijerokaso,2,1.134,0,Wednesday,0
Cikajang Raya,2,1.134,0,Wednesday,0
Cikapayang,3,1.134,0,Wednesday,0
Cikawao,3,1.134,0,Wednesday,0
Cikondang,3,1.134,0,Wednesday,0
Cikuray,4,1.134,0,Wednesday,0
Cikutra,2,1.134,0,Wednesday,0
